Symbol,Nombre,Sector,Subindustria
AC.MX,Arca Continental S.A.B. de C.V.,Consumo Básico ,Bebidas
ALFAA.MX,Alfa S.A.B. de C.V.,Industrial,Conglomerados Industriales
ALSEA.MX,Alsea S.A.B. de C.V.,Consumo Discrecional,Restaurantes
AMXB.MX,América Móvil S.A.B. de C.V.,Comunicación,Telecomunicación Inalámbrica.
ASURB.MX,Grupo Aeroportuario del Sureste S. A. B. de C. V.,Industrial ,Servicios de Aeropuertos
BBAJIOO.MX,Banco del Bajío S.A. Institución de Banca Múltiple,Financiero,Bancos Diversificados
BIMBOA.MX,Grupo Bimbo S.A.B. de C.V.,Consumo Básico,Alimentos y Carnes Envasados
BOLSAA.MX,Bolsa Mexicana de Valores S.A.B. de C.V.,Financiero,Información y Mercados Financieros
CEMEXCPO.MX,CEMEX S.A.B. de C.V.,Materiales,Materiales de Construcción
CHDRAUIB.MX,Chedraui,Consumo Básico,Venta de Alimentos
CUERVO.MX,Becle S.A.B. de C.V.,Consumo Básico,Destiladores y Vinateros
ELEKTRA.MX,Grupo Elektra S.A.B. de C.V.,Financiero,Bancos Diversificados
FEMSAUBD.MX,Fomento Económico Mexicano S.A.B. de C.V.,Consumo Básico,Bebidas
GAPB.MX,Grupo Aeroportuario del Pacífico S.A.B. de C.V.,Industrial,Servicios de Aeropuertos
GCARSOA1.MX,Grupo Carso S.A.B. de C.V.,Industrial,Conglomerados Industriales
GCC.MX,GCC S.A.B. de C.V.,Materiales,Materiales de Construcción
GENTERA.MX,Gentera S.A.B. de C.V.,Financiero,Servicios Financieros Personales
GFINBURO.MX,Grupo Financiero Inbursa S.A.B. de C.V.,Financiero,Bancos Diversificados
GFNORTEO.MX,Grupo Financiero Banorte S.A.B. de C.V.,Financiero,Bancos Diversificados
GMEXICOB.MX,Grupo México S.A.B. de C.V.,Materiales,Minería y Metales Diversos
GRUMAB.MX,Gruma S.A.B. de C.V.,Consumo Básico,Alimentos y Carnes Envasados
KIMBERA.MX,Kimberly-Clark de México S. A. B. de C. V.,Consumo Básico,Productos Domésticos
KOFUBL.MX,Coca-Cola FEMSA S.A.B. de C.V.,Consumo Básico,Bebidas
LABB.MX,Genomma Lab Internacional S.A.B. de C.V.,Salud,Productos Farmacéuticos
LIVEPOLC-1.MX,El Puerto de Liverpool,Consumo Discrecional,Grandes Almacenes
MEGACPO.MX,Megacable Holdings S. A. B. de C. V.,Comunicación,Televisión por Cable y Vía Satélite
OMAB.MX,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,Industrial,Servicios de Aeropuertos
ORBIA.MX,Orbia,Materiales,Productos Químicos Generales
PE&OLES.MX,Industrias Peñoles S.A.B. de C.V.,Materiales,Minerales y Metales Preciosos
PINFRA.MX,Promotora y Operadora de Infraestructura S. A. B. de C. V.,Industrial ,Carreteras y Vías Férreas
Q.MX,Quálitas,Financiero,Seguros
RA.MX,Regional,Financiero,Bancos Regionales
TLEVISACPO.MX,Grupo Televisa S.A.B.,Comunicación,Televisión por Cable y Vía Satélite
VESTA.MX,Vesta,Bienes Rai_ces,Empresas Operadoras de Bienes Inmuebles
WALMEX.MX,Wal-Mart de México S.A.B. de C.V.,Consumo Básico,Alimentos y Productos Básicos
^MXX, IPC México,Índice de Precios y Cotizaciones,Índice de Precios y Cotizaciones